4-94817,http://tshop.r10s.jp/ii-sakura/cabinet/01119736/sf-9400-r1.jpg?fitin=700:700,6868.8000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,INAX　【SF-9400】パーティーシンク用水栓【SF9400】,　,"<br><br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",INAX　【SF-9400】パーティーシンク用水栓【SF9400】：あいあいショップさくら,INAX　【SF-9400】パーティーシンク用水栓【SF9400】,　。INAX　【SF-9400】パーティーシンク用水栓【SF9400】[rn]
4-94842,http://tshop.r10s.jp/ii-sakura/cabinet/kotomi1/bfwm145tzsg250at.jpg?fitin=700:700,12278.4000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,INAX LIXIL【BF-WM145TZSG(250)-AT】クロマーレS シャワーバス水栓(簡易施工タイプ) 浴室用   取替用水栓 吐水口長さ250mm,水栓金具\INAX\バスルーム用,"<br><br><font size=""4"">エコフルスプレーシャワー<br>・呼び径13mm<br>・吐水口長さ250mm<br>本体昇温防止　ソフトサーモ　防カビホース　逆止弁付　まわせるもん</font><br><br><br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",INAX LIXIL【BF-WM145TZSG(250)-AT】クロマーレS シャワーバス水栓(簡易施工タイプ) 浴室用   取替用水栓 吐水口長さ250mm：あいあいショップさくら,INAX LIXIL【BF-WM145TZSG(250)-AT】クロマーレS シャワーバス水栓(簡易施工タイプ) 浴室用   取替用水栓 吐水口長さ250mm,水栓金具\INAX\バスルーム用。INAX LIXIL【BF-WM145TZSG(250)-AT】クロマーレS シャワーバス水栓(簡易施工タイプ) 浴室用   取替用水栓 吐水口長さ250mm[rn]
4-94843,http://tshop.r10s.jp/ii-sakura/cabinet/01119736/bf-615hn-g-r1.jpg?fitin=700:700,6816.8000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,πINAX【BF-615HN-G】浴室用水栓壁付タイプ 寒冷地仕様,　,"<br><br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",πINAX【BF-615HN-G】浴室用水栓壁付タイプ 寒冷地仕様：あいあいショップさくら,πINAX【BF-615HN-G】浴室用水栓壁付タイプ 寒冷地仕様,　。πINAX【BF-615HN-G】浴室用水栓壁付タイプ 寒冷地仕様[rn]
4-94844,http://tshop.r10s.jp/ii-sakura/cabinet/01119736/bf-m607n-ga-r1.jpg?fitin=700:700,6133.6000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,INAX　水栓金具【BF-M607N-GA】【BFM607NGA】2ハンドル混合栓　ミーティス寒冷地用,,"2ハンドルシャワーバス水栓（13mm）（デッキタイプ）<br>
水栓取付穴?25±2（2ヶ）<br>
吐水口長さ300mm 湯水芯々140mm<br>スプレーシャワー<!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",INAX　水栓金具【BF-M607N-GA】【BFM607NGA】2ハンドル混合栓　ミーティス寒冷地用：あいあいショップさくら,INAX　水栓金具【BF-M607N-GA】【BFM607NGA】2ハンドル混合栓　ミーティス寒冷地用,INAX　水栓金具【BF-M607N-GA】【BFM607NGA】2ハンドル混合栓　ミーティス寒冷地用[rn]
4-94845,http://tshop.r10s.jp/ii-sakura/cabinet/kotomi1/bfwm147tscw.jpg?fitin=700:700,17278.4000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,INAX LIXIL【BF-WM147TSCW】クロマーレS シャワーバス水栓  エコフルスイッチシャワー(メッキ仕様),水栓金具\INAX\バスルーム用,"<br><br><font size=""4"">・呼び径13mm<br>・吐水口長さ90mm<br>本体昇温防止　ソフトサーモ　防カビホース　逆止弁付</font><br><br><br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",INAX LIXIL【BF-WM147TSCW】クロマーレS シャワーバス水栓  エコフルスイッチシャワー(メッキ仕様)：あいあいショップさくら,INAX LIXIL【BF-WM147TSCW】クロマーレS シャワーバス水栓  エコフルスイッチシャワー(メッキ仕様),水栓金具\INAX\バスルーム用。INAX LIXIL【BF-WM147TSCW】クロマーレS シャワーバス水栓  エコフルスイッチシャワー(メッキ仕様)[rn]
4-94846,http://tshop.r10s.jp/ii-sakura/cabinet/sakurazaiko.jpg?fitin=700:700,2404.0000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,▽◆在庫有り！台数限定！INAX【SF-212-13-RU】2ハンドル混合水栓【SF21213RU】,　,"<!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",▽◆在庫有り！台数限定！INAX【SF-212-13-RU】2ハンドル混合水栓【SF21213RU】：あいあいショップさくら,▽◆在庫有り！台数限定！INAX【SF-212-13-RU】2ハンドル混合水栓【SF21213RU】,　。▽◆在庫有り！台数限定！INAX【SF-212-13-RU】2ハンドル混合水栓【SF21213RU】[rn]
4-94847,http://tshop.r10s.jp/ii-sakura/cabinet/01119736/bf-m405n-r1.jpg?fitin=700:700,4256.8000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,INAX【BF-M405N】寒冷地(水抜式)2ハンドル混合水栓ミーティス【BFM405N】,　,"<br><br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",INAX【BF-M405N】寒冷地(水抜式)2ハンドル混合水栓ミーティス【BFM405N】：あいあいショップさくら,INAX【BF-M405N】寒冷地(水抜式)2ハンドル混合水栓ミーティス【BFM405N】,　。INAX【BF-M405N】寒冷地(水抜式)2ハンドル混合水栓ミーティス【BFM405N】[rn]
4-94848,http://tshop.r10s.jp/ii-sakura/cabinet/youki0/bf612g-r1.jpg?fitin=700:700,8196.8000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,πINAX 浴室用水栓金具【BF-612-G】Ｇハンドル 逆止弁付太陽熱温水器用シャワーバス水栓 スプレーシャワー,水栓金具\INAX\バスルーム用,"<br>
一般地<br>
 <br>
配管サイズ:13mm <br>
吐水口タイプ:整流<br>
吐水口長さ:自在170mm<br>
シャワーの種類:スプレーシャワー <br>
<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",πINAX 浴室用水栓金具【BF-612-G】Ｇハンドル 逆止弁付太陽熱温水器用シャワーバス水栓 スプレーシャワー：あいあいショップさくら,πINAX 浴室用水栓金具【BF-612-G】Ｇハンドル 逆止弁付太陽熱温水器用シャワーバス水栓 スプレーシャワー,水栓金具\INAX\バスルーム用。πINAX 浴室用水栓金具【BF-612-G】Ｇハンドル 逆止弁付太陽熱温水器用シャワーバス水栓 スプレーシャワー[rn]
4-94849,http://tshop.r10s.jp/ii-sakura/cabinet/02345807/bf2147tksb-r1.jpg?fitin=700:700,20226.4000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,πINAX【BF-2147TKSB】　ヴィラーゴ　シャワーバス　水栓　エコフル多機能　シャワー,,"・逆止弁<br>
・呼び径　１３mm<br>
・吐水口長さ７５mm<br>
・排水口位置壁面より１７４mm　<br>
<br>【本体昇温防止・ソフトサーモ・防カビホース・フルH使用】
<br><br><br>【旧品番：BF-2146TKM】<!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",πINAX【BF-2147TKSB】　ヴィラーゴ　シャワーバス　水栓　エコフル多機能　シャワー：あいあいショップさくら,πINAX【BF-2147TKSB】　ヴィラーゴ　シャワーバス　水栓　エコフル多機能　シャワー,πINAX【BF-2147TKSB】　ヴィラーゴ　シャワーバス　水栓　エコフル多機能　シャワー[rn]
4-94850,http://tshop.r10s.jp/ii-sakura/cabinet/01119736/bf-7090b-r1.jpg?fitin=700:700,13200.0000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,§§INAX【BF-7090B】2ハンドルバス水栓アステシア,　,"<br><br>
温室工法用となっております。<!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",&sect;&sect;INAX【BF-7090B】2ハンドルバス水栓アステシア：あいあいショップさくら,&sect;&sect;INAX【BF-7090B】2ハンドルバス水栓アステシア,　。&sect;&sect;INAX【BF-7090B】2ハンドルバス水栓アステシア[rn]
4-94851,http://tshop.r10s.jp/ii-sakura/cabinet/sakurazaiko.jpg?fitin=700:700,1002.4000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,π◆在庫有り！台数限定！INAX  カップリング付横水栓（逆止弁付）【LF-15-13-CV】【LF1513CV】,　,"<br>
・カップリング付横水栓（逆止弁付）<br>
・一般地/寒冷地 一般地 
・配管サイズ 13mm 　
<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",π◆在庫有り！台数限定！INAX  カップリング付横水栓（逆止弁付）【LF-15-13-CV】【LF1513CV】：あいあいショップさくら,π◆在庫有り！台数限定！INAX  カップリング付横水栓（逆止弁付）【LF-15-13-CV】【LF1513CV】,　。π◆在庫有り！台数限定！INAX  カップリング付横水栓（逆止弁付）【LF-15-13-CV】【LF1513CV】[rn]
4-94852,http://tshop.r10s.jp/ii-sakura/cabinet/youki0/lf7r19-r1.jpg?fitin=700:700,1284.8000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,π￠INAX ユーティリティ用水栓【LF-7R-19】吐水口回転形横水栓（普通コマ式）,水栓金具\INAX\ユーティリティ用,"一般地<br>
 <br>
配管サイズ:20mm<br>
吐水口タイプ:整流<br>
吐水口長さ:回転形140mm(壁から)<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",π&cent;INAX ユーティリティ用水栓【LF-7R-19】吐水口回転形横水栓（普通コマ式）：あいあいショップさくら,π&cent;INAX ユーティリティ用水栓【LF-7R-19】吐水口回転形横水栓（普通コマ式）,水栓金具\INAX\ユーティリティ用。π&cent;INAX ユーティリティ用水栓【LF-7R-19】吐水口回転形横水栓（普通コマ式）[rn]
4-94853,http://tshop.r10s.jp/ii-sakura/cabinet/youki0/lf7r19u-r1.jpg?fitin=700:700,1290.4000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,πINAX ユーティリティ用水栓【LF-7R-19-U】寒冷地  吐水口回転形横水栓（固定コマ式）,水栓金具\INAX\ユーティリティ用,"寒冷地（固定コマ）<br>
 <br>
配管サイズ:20mm<br>
吐水口タイプ:整流<br>
吐水口長さ:回転形140mm(壁から)<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",πINAX ユーティリティ用水栓【LF-7R-19-U】寒冷地  吐水口回転形横水栓（固定コマ式）：あいあいショップさくら,πINAX ユーティリティ用水栓【LF-7R-19-U】寒冷地  吐水口回転形横水栓（固定コマ式）,水栓金具\INAX\ユーティリティ用。πINAX ユーティリティ用水栓【LF-7R-19-U】寒冷地  吐水口回転形横水栓（固定コマ式）[rn]
4-94854,http://tshop.r10s.jp/ii-sakura/cabinet/youki0/lf12r13gu-r1.jpg?fitin=700:700,1032.8000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13-G-U】寒冷地 吐水口回転形横水栓（固定コマ式）,水栓金具\INAX\ユーティリティ用,"寒冷地（固定コマ）<br>
 <br>
配管サイズ:13mm<br>
吐水口タイプ:整流<br>
吐水口長さ:自在41mm<br>
 <br>
逆止弁なし、Gハンドル<br>
節水コマ仕様<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13-G-U】寒冷地 吐水口回転形横水栓（固定コマ式）：あいあいショップさくら,πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13-G-U】寒冷地 吐水口回転形横水栓（固定コマ式）,水栓金具\INAX\ユーティリティ用。πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13-G-U】寒冷地 吐水口回転形横水栓（固定コマ式）[rn]
4-94855,http://tshop.r10s.jp/ii-sakura/cabinet/youki0/lf7re13-r1.jpg?fitin=700:700,977.6000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,π￠INAX ユーティリティ用水栓【LF-7RE-13】送り座付吐水口回転形横水栓,水栓金具\INAX\ユーティリティ用,"一般地<br>
 <br>
配管サイズ:13mm<br>
吐水口タイプ:整流<br>
吐水口長さ:回転形131±5mm(壁から)<br>
<br>
節水コマ仕様<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",π&cent;INAX ユーティリティ用水栓【LF-7RE-13】送り座付吐水口回転形横水栓：あいあいショップさくら,π&cent;INAX ユーティリティ用水栓【LF-7RE-13】送り座付吐水口回転形横水栓,水栓金具\INAX\ユーティリティ用。π&cent;INAX ユーティリティ用水栓【LF-7RE-13】送り座付吐水口回転形横水栓[rn]
4-94856,http://tshop.r10s.jp/ii-sakura/cabinet/01119736/lf3sha13jw-r1.jpg?fitin=700:700,1532.8000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,π￠INAX  逆止弁付止水栓【LF-3SHA-13-JW】【LF3SHA13JW】,　,"<br>
・逆止弁付止水栓
ボールバルブ式・13mm
<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",π&cent;INAX  逆止弁付止水栓【LF-3SHA-13-JW】【LF3SHA13JW】：あいあいショップさくら,π&cent;INAX  逆止弁付止水栓【LF-3SHA-13-JW】【LF3SHA13JW】,　。π&cent;INAX  逆止弁付止水栓【LF-3SHA-13-JW】【LF3SHA13JW】[rn]
4-94857,http://tshop.r10s.jp/ii-sakura/cabinet/youki0/lf12r13u-r1.jpg?fitin=700:700,876.0000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13-U】寒冷地 吐水口回転形横水栓（固定コマ式）,水栓金具\INAX\ユーティリティ用,"寒冷地（固定コマ）<br>
 <br>
配管サイズ:13mm<br>
吐水口タイプ:整流<br>
吐水口長さ:自在41mm<br>
 <br>
逆止弁なし<br>
節水コマ仕様<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13-U】寒冷地 吐水口回転形横水栓（固定コマ式）：あいあいショップさくら,πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13-U】寒冷地 吐水口回転形横水栓（固定コマ式）,水栓金具\INAX\ユーティリティ用。πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13-U】寒冷地 吐水口回転形横水栓（固定コマ式）[rn]
4-94858,http://tshop.r10s.jp/ii-sakura/cabinet/youki0/sf7r13ng-r1.jpg?fitin=700:700,3904.8000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,πINAX ユーティリティ用水栓 (屋内専用)【SF-7R-13N-G】寒冷地 2ハンドル混合水栓,水栓金具\INAX\ユーティリティ用,"寒冷地（水抜式）<br>
 <br>
配管サイズ:13mm<br>
吐水口タイプ:整流<br>
吐水口長さ:自在41mm<br>
逆止弁付、Gハンドル<br>
<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",πINAX ユーティリティ用水栓 (屋内専用)【SF-7R-13N-G】寒冷地 2ハンドル混合水栓：あいあいショップさくら,πINAX ユーティリティ用水栓 (屋内専用)【SF-7R-13N-G】寒冷地 2ハンドル混合水栓,水栓金具\INAX\ユーティリティ用。πINAX ユーティリティ用水栓 (屋内専用)【SF-7R-13N-G】寒冷地 2ハンドル混合水栓[rn]
4-94859,http://tshop.r10s.jp/ii-sakura/cabinet/youki0/lf7r13u-r1.jpg?fitin=700:700,750.4000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,πINAX ユーティリティ用水栓【LF-7R-13-U】寒冷地  吐水口回転形横水栓（固定コマ式・水用）,水栓金具\INAX\ユーティリティ用,"寒冷地（固定コマ）<br>
 <br>
配管サイズ:13mm<br>
吐水口タイプ:整流<br>
吐水口長さ:回転形120mm(壁から)<br>
 <br>
節水コマ仕様<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",πINAX ユーティリティ用水栓【LF-7R-13-U】寒冷地  吐水口回転形横水栓（固定コマ式・水用）：あいあいショップさくら,πINAX ユーティリティ用水栓【LF-7R-13-U】寒冷地  吐水口回転形横水栓（固定コマ式・水用）,水栓金具\INAX\ユーティリティ用。πINAX ユーティリティ用水栓【LF-7R-13-U】寒冷地  吐水口回転形横水栓（固定コマ式・水用）[rn]
4-94860,http://tshop.r10s.jp/ii-sakura/cabinet/youki0/lf12r13-r1.jpg?fitin=700:700,871.2000,,花・ガーデン・DIY > 住宅建材・設備 > キッチン用設備 > キッチン用水栓金具,πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13】吐水口回転形横水栓,水栓金具\INAX\ユーティリティ用,"一般地<br>
 <br>
配管サイズ:13mm<br>
吐水口タイプ:整流<br>
吐水口長さ:自在41mm<br>
 <br>
逆止弁なし<br>
節水コマ仕様<br><!--
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/img59761114.jpg"" border=""0""><br>
-->
<br>
<img src=""http://image.rakuten.co.jp/ii-sakura/cabinet/youki8/sakura-meker.jpg"" border=""0""><br>
<br>
<br>
</p>",πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13】吐水口回転形横水栓：あいあいショップさくら,πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13】吐水口回転形横水栓,水栓金具\INAX\ユーティリティ用。πINAX ユーティリティ用水栓 (屋内専用)【LF-12R-13】吐水口回転形横水栓[rn]
